municipio,vul_car_pob,NOM_MUN,NOM_LOC,PCON_LIMI,PHOG_IND,P5_HLI_NHE,PCON_DISC,VPH_PISODT,VPH_S_ELEC
San Lorenzo Cacaotepec,"6,569",San Lorenzo Cacaotepec,Total del Municipio,2104,1723,5,932,4703,59
San Lorenzo Cuaunecuiltitla,15,San Lorenzo Cuaunecuiltitla,Total del Municipio,133,808,81,26,181,1
San Lorenzo Texmelúcan,193,San Lorenzo Texmelúcan,Total del Municipio,662,9002,2882,467,1055,47
San Lorenzo Victoria,272,San Lorenzo Victoria,Total del Municipio,247,60,0,143,282,2
San Lucas Camotlán,24,San Lucas Camotlán,Total del Municipio,360,3182,681,75,567,77
San Lucas Ojitlán,"2,332",San Lucas Ojitlán,Total del Municipio,3173,21247,1142,1465,3819,294
San Lucas Quiaviní,261,San Lucas Quiaviní,Total del Municipio,179,1708,213,115,374,2
San Lucas Zoquiápam,176,San Lucas Zoquiápam,Total del Municipio,1490,7094,834,641,1348,85
San Luis Amatlán,612,San Luis Amatlán,Total del Municipio,468,37,0,573,1006,22
San Marcial Ozolotepec,84,San Marcial Ozolotepec,Total del Municipio,254,1360,141,100,246,47
San Marcos Arteaga,545,San Marcos Arteaga,Total del Municipio,259,97,1,138,433,1
San Martín de los Cansecos,160,San Martín de los Cansecos,Total del Municipio,169,41,0,114,215,4
San Martín Huamelúlpam,217,San Martín Huamelúlpam,Total del Municipio,236,65,0,139,290,8
San Martín Itunyoso,68,San Martín Itunyoso,Total del Municipio,410,2681,414,259,392,10
San Martín Lachilá,177,San Martín Lachilá,Total del Municipio,170,31,0,152,280,4
San Martín Peras,229,San Martín Peras,Total del Municipio,1243,12356,3895,742,1792,74
San Martín Tilcajete,865,San Martín Tilcajete,Total del Municipio,231,46,0,168,438,3
San Martín Toxpalan,666,San Martín Toxpalan,Total del Municipio,751,2087,39,304,908,23
San Martín Zacatepec,173,San Martín Zacatepec,Total del Municipio,242,26,2,159,341,1
San Mateo Cajonos,60,San Mateo Cajonos,Total del Municipio,61,598,30,70,153,0
Capulálpam de Méndez,510,Capulálpam de Méndez,Total del Municipio,297,297,0,118,402,0
San Mateo del Mar,"1,408",San Mateo del Mar,Total del Municipio,1438,15538,1802,781,2014,612
San Mateo Yoloxochitlán,168,San Mateo Yoloxochitlán,Total del Municipio,827,3690,200,262,799,22
San Mateo Etlatongo,301,San Mateo Etlatongo,Total del Municipio,215,49,0,105,305,0
San Mateo Nejápam,115,San Mateo Nejápam,Total del Municipio,151,24,0,89,271,4
San Mateo Peñasco,162,San Mateo Peñasco,Total del Municipio,324,2234,165,133,474,26
San Mateo Piñas,221,San Mateo Piñas,Total del Municipio,383,378,1,267,439,114
San Mateo Río Hondo,386,San Mateo Río Hondo,Total del Municipio,350,201,0,226,716,38
San Mateo Sindihui,143,San Mateo Sindihui,Total del Municipio,277,81,0,85,437,3
San Mateo Tlapiltepec,21,San Mateo Tlapiltepec,Total del Municipio,43,14,0,18,67,3
San Melchor Betaza,84,San Melchor Betaza,Total del Municipio,140,1043,147,60,281,4
San Miguel Achiutla,57,San Miguel Achiutla,Total del Municipio,165,32,0,98,197,8
San Miguel Ahuehuetitlán,156,San Miguel Ahuehuetitlán,Total del Municipio,423,1782,160,266,464,6
San Miguel Aloápam,265,San Miguel Aloápam,Total del Municipio,373,2187,173,235,445,3
San Miguel Amatitlán,"1,711",San Miguel Amatitlán,Total del Municipio,1007,1806,12,491,1507,35
San Miguel Amatlán,209,San Miguel Amatlán,Total del Municipio,144,215,0,68,263,3
San Miguel Coatlán,280,San Miguel Coatlán,Total del Municipio,535,961,6,216,653,29
San Miguel Chicahua,174,San Miguel Chicahua,Total del Municipio,289,2013,77,90,517,32
San Miguel Chimalapa,"1,278",San Miguel Chimalapa,Total del Municipio,1042,3516,11,533,1720,74
San Miguel del Puerto,"4,407",San Miguel del Puerto,Total del Municipio,978,1067,5,569,2012,130
San Miguel del Río,41,San Miguel del Río,Total del Municipio,56,222,0,14,69,1
San Miguel Ejutla,357,San Miguel Ejutla,Total del Municipio,147,82,0,74,276,5
San Miguel el Grande,"1,075",San Miguel el Grande,Total del Municipio,619,3499,74,222,1026,61
San Miguel Huautla,40,San Miguel Huautla,Total del Municipio,185,759,4,131,302,25
San Miguel Mixtepec,36,San Miguel Mixtepec,Total del Municipio,277,3119,69,129,503,36
San Miguel Panixtlahuaca,182,San Miguel Panixtlahuaca,Total del Municipio,550,6134,710,244,948,31
San Miguel Peras,104,San Miguel Peras,Total del Municipio,570,1499,17,313,550,52
San Miguel Piedras,62,San Miguel Piedras,Total del Municipio,248,1001,3,110,254,16
San Miguel Quetzaltepec,236,San Miguel Quetzaltepec,Total del Municipio,802,7272,1618,343,1716,78
San Miguel Santa Flor,45,San Miguel Santa Flor,Total del Municipio,159,572,7,81,189,7
Villa Sola de Vega,"1,662",Villa Sola de Vega,Total del Municipio,1190,1130,4,717,2083,136
San Miguel Soyaltepec,"6,085",San Miguel Soyaltepec,Total del Municipio,6139,31169,1615,3372,8665,231
San Miguel Suchixtepec,234,San Miguel Suchixtepec,Total del Municipio,340,2696,44,187,617,9
Villa Talea de Castro,225,Villa Talea de Castro,Total del Municipio,380,1533,11,260,615,1
San Miguel Tecomatlán,78,San Miguel Tecomatlán,Total del Municipio,96,43,0,51,115,1
San Miguel Tenango,42,San Miguel Tenango,Total del Municipio,119,43,0,43,202,11
San Miguel Tequixtepec,150,San Miguel Tequixtepec,Total del Municipio,217,7,0,88,294,2
San Miguel Tilquiápam,34,San Miguel Tilquiápam,Total del Municipio,268,3134,141,178,539,26
San Miguel Tlacamama,"1,107",San Miguel Tlacamama,Total del Municipio,413,1604,16,297,891,26
San Miguel Tlacotepec,683,San Miguel Tlacotepec,Total del Municipio,528,830,30,334,818,17
San Miguel Tulancingo,13,San Miguel Tulancingo,Total del Municipio,90,57,0,58,98,1
San Miguel Yotao,14,San Miguel Yotao,Total del Municipio,62,582,40,44,140,0
San Nicolás,211,San Nicolás,Total del Municipio,162,15,0,156,329,5
San Nicolás Hidalgo,317,San Nicolás Hidalgo,Total del Municipio,224,10,1,130,259,2
San Pablo Coatlán,374,San Pablo Coatlán,Total del Municipio,504,153,0,354,959,30
San Pablo Cuatro Venados,22,San Pablo Cuatro Venados,Total del Municipio,171,259,0,70,265,9
San Pablo Etla,"7,843",San Pablo Etla,Total del Municipio,2677,1828,3,782,4900,23
San Pablo Huitzo,"2,050",San Pablo Huitzo,Total del Municipio,1039,454,3,521,1793,19
San Pablo Huixtepec,"2,857",San Pablo Huixtepec,Total del Municipio,1342,414,1,663,2380,30
San Pablo Macuiltianguis,79,San Pablo Macuiltianguis,Total del Municipio,149,887,3,126,293,1
San Pablo Tijaltepec,68,San Pablo Tijaltepec,Total del Municipio,152,2704,260,41,449,71
San Pablo Villa de Mitla,"2,974",San Pablo Villa de Mitla,Total del Municipio,2133,7960,62,914,3164,43
San Pablo Yaganiza,99,San Pablo Yaganiza,Total del Municipio,81,1102,70,52,295,1
San Pedro Amuzgos,710,San Pedro Amuzgos,Total del Municipio,793,5735,589,600,1614,62
San Pedro Apóstol,508,San Pedro Apóstol,Total del Municipio,287,92,0,202,335,8
San Pedro Atoyac,239,San Pedro Atoyac,Total del Municipio,445,3813,403,162,899,32
San Pedro Cajonos,172,San Pedro Cajonos,Total del Municipio,233,1072,43,62,278,0
San Pedro Coxcaltepec Cántaros,32,San Pedro Coxcaltepec Cántaros,Total del Municipio,151,104,0,46,188,3
San Pedro Comitancillo,"1,763",San Pedro Comitancillo,Total del Municipio,806,3445,9,371,1389,20
San Pedro el Alto,245,San Pedro el Alto,Total del Municipio,371,4398,182,238,787,56
San Pedro Huamelula,"5,382",San Pedro Huamelula,Total del Municipio,1186,2437,10,537,2828,111
San Pedro Huilotepec,683,San Pedro Huilotepec,Total del Municipio,452,2767,12,168,696,18
San Pedro Ixcatlán,976,San Pedro Ixcatlán,Total del Municipio,1429,9958,1092,618,1961,93
San Pedro Ixtlahuaca,"6,592",San Pedro Ixtlahuaca,Total del Municipio,1707,5221,51,835,3020,268
San Pedro Jaltepetongo,16,San Pedro Jaltepetongo,Total del Municipio,53,474,38,66,82,1
San Pedro Jicayán,"1,735",San Pedro Jicayán,Total del Municipio,1354,10982,935,1041,2239,67
San Pedro Jocotipac,54,San Pedro Jocotipac,Total del Municipio,140,647,14,80,215,5
San Pedro Juchatengo,359,San Pedro Juchatengo,Total del Municipio,218,94,0,146,428,4
San Pedro Mártir,653,San Pedro Mártir,Total del Municipio,262,1646,9,148,186,4
San Pedro Mártir Quiechapa,67,San Pedro Mártir Quiechapa,Total del Municipio,96,226,0,106,170,7
San Pedro Mártir Yucuxaco,159,San Pedro Mártir Yucuxaco,Total del Municipio,225,67,0,173,360,19
San Pedro Mixtepec - Dto. 22,"14,520",,,,,,,,
San Pedro Mixtepec - Dto. 26,42,,,,,,,,
San Pedro Molinos,64,San Pedro Molinos,Total del Municipio,219,659,22,51,182,3
San Pedro Nopala,24,San Pedro Nopala,Total del Municipio,105,0,0,43,177,2
San Pedro Ocopetatillo,20,San Pedro Ocopetatillo,Total del Municipio,138,786,115,64,186,3
San Pedro Ocotepec,148,San Pedro Ocotepec,Total del Municipio,200,2392,380,185,495,14
San Pedro Pochutla,"23,679",San Pedro Pochutla,Total del Municipio,4670,7926,74,2222,10789,418
San Pedro Quiatoni,415,San Pedro Quiatoni,Total del Municipio,1203,11886,1601,841,2387,122
San Pedro Sochiápam,154,San Pedro Sochiápam,Total del Municipio,787,4989,663,413,1053,45
San Pedro Tapanatepec,"6,126",San Pedro Tapanatepec,Total del Municipio,2110,1269,1,1313,4142,87
San Pedro Taviche,72,San Pedro Taviche,Total del Municipio,98,0,0,55,300,5
San Pedro Teozacoalco,84,San Pedro Teozacoalco,Total del Municipio,185,68,0,139,250,13
San Pedro Teutila,274,San Pedro Teutila,Total del Municipio,825,1810,18,504,1057,34
San Pedro Tidaá,87,San Pedro Tidaá,Total del Municipio,197,531,0,159,284,7
San Pedro Topiltepec,31,San Pedro Topiltepec,Total del Municipio,108,16,0,45,120,1
San Pedro Totolápam,"1,259",San Pedro Totolápam,Total del Municipio,458,554,4,313,847,13
Villa de Tututepec de Melchor Ocampo,"16,628",,,,,,,,
San Pedro Yaneri,50,San Pedro Yaneri,Total del Municipio,110,863,20,27,189,2
San Pedro Yólox,231,San Pedro Yólox,Total del Municipio,275,1662,93,179,457,4
San Pedro y San Pablo Ayutla,804,San Pedro y San Pablo Ayutla,Total del Municipio,944,5267,775,517,1034,68
Villa de Etla,"4,593",Villa de Etla,Total del Municipio,1041,2059,14,440,2539,33
San Pedro y San Pablo Teposcolula,"1,428",San Pedro y San Pablo Teposcolula,Total del Municipio,525,278,0,302,1147,23
San Pedro y San Pablo Tequixtepec,191,San Pedro y San Pablo Tequixtepec,Total del Municipio,412,440,12,251,554,21
San Pedro Yucunama,49,San Pedro Yucunama,Total del Municipio,32,4,0,21,61,5
San Raymundo Jalpan,"1,927",San Raymundo Jalpan,Total del Municipio,510,510,2,162,1172,11
San Sebastián Abasolo,659,San Sebastián Abasolo,Total del Municipio,397,1006,0,164,510,10
San Sebastián Coatlán,288,San Sebastián Coatlán,Total del Municipio,299,71,0,213,734,16
San Sebastián Ixcapa,"1,244",San Sebastián Ixcapa,Total del Municipio,574,709,8,267,1097,18
San Sebastián Nicananduta,89,San Sebastián Nicananduta,Total del Municipio,318,1271,25,223,435,4
San Sebastián Río Hondo,239,San Sebastián Río Hondo,Total del Municipio,306,911,2,209,882,18
San Sebastián Tecomaxtlahuaca,"1,631",San Sebastián Tecomaxtlahuaca,Total del Municipio,1520,3554,178,683,1850,62
San Sebastián Teitipac,920,San Sebastián Teitipac,Total del Municipio,395,1096,1,180,555,15
San Sebastián Tutla,"7,767",San Sebastián Tutla,Total del Municipio,1436,2137,5,502,4906,2
San Simón Almolongas,506,San Simón Almolongas,Total del Municipio,418,41,0,268,775,22
San Simón Zahuatlán,17,San Simón Zahuatlán,Total del Municipio,191,4919,1153,256,583,10
Santa Ana,373,Santa Ana,Total del Municipio,418,32,0,170,552,14
Santa Ana Ateixtlahuaca,3,Santa Ana Ateixtlahuaca,Total del Municipio,108,470,84,31,116,5
Santa Ana Cuauhtémoc,33,Santa Ana Cuauhtémoc,Total del Municipio,136,486,2,92,210,5
Santa Ana del Valle,550,Santa Ana del Valle,Total del Municipio,325,2083,53,186,530,4
Santa Ana Tavela,151,Santa Ana Tavela,Total del Municipio,204,36,0,126,229,8
Santa Ana Tlapacoyan,567,Santa Ana Tlapacoyan,Total del Municipio,306,24,0,199,543,13
Santa Ana Yareni,47,Santa Ana Yareni,Total del Municipio,120,635,39,80,145,1
Santa Ana Zegache,864,Santa Ana Zegache,Total del Municipio,607,1987,3,168,966,18
Santa Catalina Quierí,43,Santa Catalina Quierí,Total del Municipio,97,819,29,36,207,14
Santa Catarina Cuixtla,376,Santa Catarina Cuixtla,Total del Municipio,234,489,0,123,384,14
Santa Catarina Ixtepeji,476,Santa Catarina Ixtepeji,Total del Municipio,396,308,1,159,660,7
Santa Catarina Juquila,"3,287",Santa Catarina Juquila,Total del Municipio,1854,7300,738,908,3462,95
Santa Catarina Lachatao,218,Santa Catarina Lachatao,Total del Municipio,263,688,0,77,310,7
Santa Catarina Loxicha,99,Santa Catarina Loxicha,Total del Municipio,355,751,4,223,728,34
Santa Catarina Mechoacán,232,Santa Catarina Mechoacán,Total del Municipio,518,4523,503,252,984,22
Santa Catarina Minas,668,Santa Catarina Minas,Total del Municipio,222,44,0,195,475,5
Santa Catarina Quiané,953,Santa Catarina Quiané,Total del Municipio,277,91,0,112,544,7
Santa Catarina Tayata,109,Santa Catarina Tayata,Total del Municipio,159,129,3,56,175,5
Santa Catarina Ticuá,24,Santa Catarina Ticuá,Total del Municipio,241,852,15,87,293,12
Santa Catarina Yosonotú,82,Santa Catarina Yosonotú,Total del Municipio,288,1218,147,133,399,10
Santa Catarina Zapoquila,20,Santa Catarina Zapoquila,Total del Municipio,54,7,0,23,99,5
Santa Cruz Acatepec,80,Santa Cruz Acatepec,Total del Municipio,285,1627,120,119,236,12
Santa Cruz Amilpas,"3,370",Santa Cruz Amilpas,Total del Municipio,1063,4016,21,419,3385,11
Santa Cruz de Bravo,79,Santa Cruz de Bravo,Total del Municipio,66,16,0,39,95,1
Santa Cruz Itundujia,"1,093",Santa Cruz Itundujia,Total del Municipio,1877,2205,5,1164,2314,199
Santa Cruz Mixtepec,619,Santa Cruz Mixtepec,Total del Municipio,428,1083,48,253,819,20
Santa Cruz Nundaco,266,Santa Cruz Nundaco,Total del Municipio,309,2825,65,154,571,21
Santa Cruz Papalutla,838,Santa Cruz Papalutla,Total del Municipio,414,1208,9,160,591,2
Santa Cruz Tacache de Mina,944,Santa Cruz Tacache de Mina,Total del Municipio,412,14,0,265,774,2
Santa Cruz Tacahua,91,Santa Cruz Tacahua,Total del Municipio,147,713,26,83,316,9
Santa Cruz Tayata,43,Santa Cruz Tayata,Total del Municipio,76,18,0,58,129,2
Santa Cruz Xitla,430,Santa Cruz Xitla,Total del Municipio,662,3954,54,429,858,16
Santa Cruz Xoxocotlán,"31,658",Santa Cruz Xoxocotlán,Total del Municipio,12834,21064,165,4615,24928,250
Santa Cruz Zenzontepec,804,Santa Cruz Zenzontepec,Total del Municipio,1433,14664,1770,946,2559,189
Santa Gertrudis,642,Santa Gertrudis,Total del Municipio,362,32,0,248,789,2
Santa Inés del Monte,114,Santa Inés del Monte,Total del Municipio,279,84,0,103,541,34
Santa Inés Yatzeche,230,Santa Inés Yatzeche,Total del Municipio,30,903,21,31,190,1
Santa Lucía del Camino,"20,581",Santa Lucía del Camino,Total del Municipio,5279,12080,59,2209,13708,24
Santa Lucía Miahuatlán,57,Santa Lucía Miahuatlán,Total del Municipio,207,3361,569,124,576,46
Santa Lucía Monteverde,217,Santa Lucía Monteverde,Total del Municipio,1014,5027,206,467,1329,116
Santa Lucía Ocotlán,400,Santa Lucía Ocotlán,Total del Municipio,356,4026,60,217,863,8
Santa María Alotepec,379,Santa María Alotepec,Total del Municipio,683,2731,268,270,676,20
Santa María Apazco,84,Santa María Apazco,Total del Municipio,325,1552,150,212,399,30
Santa María la Asunción,117,Santa María la Asunción,Total del Municipio,844,3200,1031,252,788,25
Heroica Ciudad de Tlaxiaco,"14,014",Heroica Ciudad de Tlaxiaco,Total del Municipio,5278,17379,427,2084,8706,151
Ayoquezco de Aldama,982,Ayoquezco de Aldama,Total del Municipio,726,833,0,375,1197,14
Santa María Atzompa,"15,594",Santa María Atzompa,Total del Municipio,5150,11163,55,2055,10372,220
Santa María Camotlán,580,Santa María Camotlán,Total del Municipio,284,18,0,205,508,13
Santa María Colotepec,"17,290",Santa María Colotepec,Total del Municipio,2666,4291,57,1274,6366,211
Santa María Cortijo,233,Santa María Cortijo,Total del Municipio,189,103,0,125,302,9
Santa María Coyotepec,863,Santa María Coyotepec,Total del Municipio,323,616,3,119,1016,15
Santa María Chachoápam,222,Santa María Chachoápam,Total del Municipio,151,28,0,96,236,0
Villa de Chilapa de Díaz,554,Villa de Chilapa de Díaz,Total del Municipio,205,455,2,106,510,5
Santa María Chilchotla,922,Santa María Chilchotla,Total del Municipio,3815,21119,3400,1427,3165,365
Santa María Chimalapa,"1,319",Santa María Chimalapa,Total del Municipio,1191,4937,430,542,1755,66
Santa María del Rosario,59,Santa María del Rosario,Total del Municipio,125,131,1,54,126,3
Santa María del Tule,"2,489",Santa María del Tule,Total del Municipio,1178,1283,5,399,2443,5
Santa María Ecatepec,160,Santa María Ecatepec,Total del Municipio,556,2060,5,207,801,23
Santa María Guelacé,276,Santa María Guelacé,Total del Municipio,158,346,0,78,219,2
Santa María Guienagati,553,Santa María Guienagati,Total del Municipio,581,1523,3,376,762,55
Santa María Huatulco,"19,663",Santa María Huatulco,Total del Municipio,4813,5118,14,1964,13525,371
Santa María Huazolotitlán,"3,160",Santa María Huazolotitlán,Total del Municipio,1734,5125,203,898,3331,70
Santa María Ipalapa,984,Santa María Ipalapa,Total del Municipio,711,1504,5,287,1202,21
Santa María Ixcatlán,16,Santa María Ixcatlán,Total del Municipio,103,31,0,71,115,1
Santa María Jacatepec,"2,111",Santa María Jacatepec,Total del Municipio,1152,7462,341,697,2279,30
Santa María Jalapa del Marqués,"4,013",Santa María Jalapa del Marqués,Total del Municipio,1083,1132,8,623,3219,105
Santa María Jaltianguis,88,Santa María Jaltianguis,Total del Municipio,109,444,0,77,157,2
Santa María Lachixío,79,Santa María Lachixío,Total del Municipio,188,1634,102,64,289,16
Santa María Mixtequilla,"1,304",Santa María Mixtequilla,Total del Municipio,711,193,0,296,1390,25
Santa María Nativitas,51,Santa María Nativitas,Total del Municipio,144,298,0,71,190,3
Santa María Nduayaco,15,Santa María Nduayaco,Total del Municipio,91,13,0,41,118,5
Santa María Ozolotepec,143,Santa María Ozolotepec,Total del Municipio,630,1434,2,186,759,31
Santa María Pápalo,72,Santa María Pápalo,Total del Municipio,394,2047,102,246,535,14
Santa María Peñoles,148,Santa María Peñoles,Total del Municipio,810,8750,515,629,1231,127
Santa María Petapa,"5,506",Santa María Petapa,Total del Municipio,2006,7246,55,1013,4213,61
Santa María Quiegolani,37,Santa María Quiegolani,Total del Municipio,203,2100,177,153,447,20
Santa María Sola,173,Santa María Sola,Total del Municipio,170,77,0,138,358,15
Santa María Tataltepec,41,Santa María Tataltepec,Total del Municipio,39,91,1,43,74,1
Santa María Tecomavaca,625,Santa María Tecomavaca,Total del Municipio,290,528,2,170,413,2
Santa María Temaxcalapa,74,Santa María Temaxcalapa,Total del Municipio,80,893,45,44,284,1
Santa María Temaxcaltepec,219,Santa María Temaxcaltepec,Total del Municipio,152,2579,372,79,499,38
Santa María Teopoxco,77,Santa María Teopoxco,Total del Municipio,591,3969,231,365,964,6
Santa María Tepantlali,348,Santa María Tepantlali,Total del Municipio,609,3490,706,359,672,33
Santa María Texcatitlán,60,Santa María Texcatitlán,Total del Municipio,185,891,77,68,250,7
Santa María Tlahuitoltepec,698,Santa María Tlahuitoltepec,Total del Municipio,1193,9464,1627,394,1714,77
Santa María Tlalixtac,84,Santa María Tlalixtac,Total del Municipio,246,1294,19,111,379,8
Santa María Tonameca,"9,115",Santa María Tonameca,Total del Municipio,3069,13051,455,1467,4867,315
Santa María Totolapilla,108,Santa María Totolapilla,Total del Municipio,196,434,5,101,278,5
Santa María Xadani,"1,206",Santa María Xadani,Total del Municipio,985,9133,1074,534,2104,33
Santa María Yalina,12,Santa María Yalina,Total del Municipio,37,231,1,13,74,0
Santa María Yavesía,80,Santa María Yavesía,Total del Municipio,36,202,2,27,135,1
Santa María Yolotepec,26,Santa María Yolotepec,Total del Municipio,119,363,0,46,143,5
Santa María Yosoyúa,102,Santa María Yosoyúa,Total del Municipio,351,1670,106,72,333,4
Santa María Yucuhiti,541,Santa María Yucuhiti,Total del Municipio,1053,5873,415,631,1435,21
Santa María Zacatepec,"2,241",Santa María Zacatepec,Total del Municipio,2639,5777,221,1771,3808,121
Santa María Zaniza,40,Santa María Zaniza,Total del Municipio,197,1426,1,77,283,15
Santa María Zoquitlán,583,Santa María Zoquitlán,Total del Municipio,453,34,0,312,877,17
Santiago Amoltepec,161,Santiago Amoltepec,Total del Municipio,577,11661,331,562,988,200
Santiago Apoala,32,Santiago Apoala,Total del Municipio,85,952,58,108,279,9
Santiago Apóstol,317,Santiago Apóstol,Total del Municipio,532,4145,120,308,588,10
Santiago Astata,"1,796",Santiago Astata,Total del Municipio,652,754,1,279,1158,58
Santiago Atitlán,216,Santiago Atitlán,Total del Municipio,593,3520,573,264,660,29
Santiago Ayuquililla,325,Santiago Ayuquililla,Total del Municipio,459,41,0,270,704,11
Santiago Cacaloxtepec,458,Santiago Cacaloxtepec,Total del Municipio,274,846,26,150,469,3
Santiago Camotlán,144,Santiago Camotlán,Total del Municipio,223,3141,135,228,685,11
Santiago Comaltepec,113,Santiago Comaltepec,Total del Municipio,272,1118,39,157,324,2
Santiago Chazumba,877,,,,,,,,
Santiago Choápam,190,Santiago Choápam,Total del Municipio,817,3679,110,292,1107,58
Santiago del Río,35,Santiago del Río,Total del Municipio,31,181,11,98,156,6
Santiago Huajolotitlán,"1,669",Santiago Huajolotitlán,Total del Municipio,566,55,0,276,1186,14
Santiago Huauclilla,34,Santiago Huauclilla,Total del Municipio,117,24,0,81,167,4
Santiago Ihuitlán Plumas,5,Santiago Ihuitlán Plumas,Total del Municipio,34,11,0,36,106,0
Santiago Ixcuintepec,53,Santiago Ixcuintepec,Total del Municipio,265,1578,42,145,326,13
Santiago Ixtayutla,389,Santiago Ixtayutla,Total del Municipio,992,12114,5142,738,1867,236
Santiago Jamiltepec,"6,415",Santiago Jamiltepec,Total del Municipio,3406,7442,189,1989,4900,127
Santiago Jocotepec,"1,794",Santiago Jocotepec,Total del Municipio,1341,12411,772,814,2776,73
Santiago Juxtlahuaca,"4,812",Santiago Juxtlahuaca,Total del Municipio,3817,26538,2891,2265,5685,305
Santiago Lachiguiri,765,Santiago Lachiguiri,Total del Municipio,821,3411,99,393,1162,80
Santiago Lalopa,27,Santiago Lalopa,Total del Municipio,147,409,15,32,116,1
Santiago Laollaga,761,Santiago Laollaga,Total del Municipio,369,659,1,220,1064,8
Santiago Laxopa,60,Santiago Laxopa,Total del Municipio,133,1284,14,100,314,1
Santiago Llano Grande,"1,157",Santiago Llano Grande,Total del Municipio,521,147,1,457,960,26
Santiago Matatlán,913,Santiago Matatlán,Total del Municipio,1343,9840,952,674,2097,48
Santiago Miltepec,62,Santiago Miltepec,Total del Municipio,55,10,0,51,138,3
Santiago Minas,233,Santiago Minas,Total del Municipio,131,153,23,136,301,5
Santiago Nacaltepec,118,Santiago Nacaltepec,Total del Municipio,280,53,0,218,490,9
Santiago Nejapilla,1,Santiago Nejapilla,Total del Municipio,29,6,0,55,66,1
Santiago Nundiche,92,Santiago Nundiche,Total del Municipio,258,1325,66,93,320,48
Santiago Nuyoó,172,Santiago Nuyoó,Total del Municipio,477,1867,179,206,493,10
Santiago Pinotepa Nacional,"19,731",Santiago Pinotepa Nacional,Total del Municipio,6374,19473,261,3680,13972,293
Santiago Suchilquitongo,"1,862",Santiago Suchilquitongo,Total del Municipio,1182,326,0,603,2631,48
Santiago Tamazola,"1,080",Santiago Tamazola,Total del Municipio,787,616,6,421,1079,20
Santiago Tapextla,433,Santiago Tapextla,Total del Municipio,339,97,0,179,683,24
Villa Tejúpam de la Unión,789,Villa Tejúpam de la Unión,Total del Municipio,419,59,0,151,649,9
Santiago Tenango,211,Santiago Tenango,Total del Municipio,312,57,0,163,438,31
Santiago Tepetlapa,23,Santiago Tepetlapa,Total del Municipio,28,4,0,16,39,0
Santiago Tetepec,673,Santiago Tetepec,Total del Municipio,638,1770,132,378,1140,34
Santiago Texcalcingo,38,Santiago Texcalcingo,Total del Municipio,388,2959,289,191,697,5
Santiago Textitlán,145,Santiago Textitlán,Total del Municipio,352,2440,10,281,650,17
Santiago Tilantongo,79,Santiago Tilantongo,Total del Municipio,596,2168,19,343,760,51
Santiago Tillo,116,Santiago Tillo,Total del Municipio,109,30,0,52,164,1
Santiago Tlazoyaltepec,84,Santiago Tlazoyaltepec,Total del Municipio,603,6048,479,491,955,41
Santiago Xanica,151,Santiago Xanica,Total del Municipio,348,2152,11,253,621,68
Santiago Xiacuí,459,Santiago Xiacuí,Total del Municipio,339,424,1,227,476,2
Santiago Yaitepec,81,Santiago Yaitepec,Total del Municipio,351,4202,1117,191,813,9
Santiago Yaveo,"1,534",Santiago Yaveo,Total del Municipio,1041,3411,48,565,1775,72
Santiago Yolomécatl,538,Santiago Yolomécatl,Total del Municipio,372,180,0,85,501,3
Santiago Yosondúa,778,Santiago Yosondúa,Total del Municipio,1067,3366,29,565,1977,100
Santiago Yucuyachi,283,Santiago Yucuyachi,Total del Municipio,237,257,2,144,303,3
Santiago Zacatepec,326,Santiago Zacatepec,Total del Municipio,522,5052,970,290,717,67
Santiago Zoochila,56,Santiago Zoochila,Total del Municipio,94,392,18,113,115,0
Nuevo Zoquiápam,272,Nuevo Zoquiápam,Total del Municipio,289,1310,9,152,279,1
Santo Domingo Ingenio,"1,610",Santo Domingo Ingenio,Total del Municipio,1348,733,6,639,2454,21
Santo Domingo Albarradas,43,Santo Domingo Albarradas,Total del Municipio,123,791,21,84,199,2
Santo Domingo Armenta,317,Santo Domingo Armenta,Total del Municipio,568,176,1,274,822,32
Santo Domingo Chihuitán,688,Santo Domingo Chihuitán,Total del Municipio,279,328,1,201,511,10
Santo Domingo de Morelos,"1,392",Santo Domingo de Morelos,Total del Municipio,1174,10852,1167,584,1984,65
Santo Domingo Ixcatlán,85,Santo Domingo Ixcatlán,Total del Municipio,144,265,0,78,147,10
Santo Domingo Nuxaá,79,Santo Domingo Nuxaá,Total del Municipio,579,2712,21,323,767,62
Santo Domingo Ozolotepec,51,Santo Domingo Ozolotepec,Total del Municipio,143,828,6,76,217,5
Santo Domingo Petapa,"1,571",Santo Domingo Petapa,Total del Municipio,1061,5451,26,850,2294,107
Santo Domingo Roayaga,35,Santo Domingo Roayaga,Total del Municipio,105,923,46,31,99,10
Santo Domingo Tehuantepec,"21,168",Santo Domingo Tehuantepec,Total del Municipio,9864,12201,101,4366,17179,385
Santo Domingo Teojomulco,652,Santo Domingo Teojomulco,Total del Municipio,698,173,0,343,1062,25
Santo Domingo Tepuxtepec,506,Santo Domingo Tepuxtepec,Total del Municipio,682,5824,1055,308,848,98
Santo Domingo Tlatayápam,17,Santo Domingo Tlatayápam,Total del Municipio,30,0,0,26,37,0
Santo Domingo Tomaltepec,639,Santo Domingo Tomaltepec,Total del Municipio,422,1236,3,161,792,5
