municipio,vul_car_pob,NOM_MUN,NOM_LOC,PCON_LIMI,PHOG_IND,P5_HLI_NHE,PCON_DISC,VPH_PISODT,VPH_S_ELEC
Acacoyagua,"4,228",Acacoyagua,Total del Municipio,1736,140,1,895,4239,94
Acala,"2,591",Acala,Total del Municipio,2168,2411,240,1140,5085,60
Acapetahua,"11,339",Acapetahua,Total del Municipio,2615,70,1,1863,6950,89
Altamirano,832,Altamirano,Total del Municipio,1473,27951,2687,962,7220,254
Amatán,"2,411",Amatán,Total del Municipio,1647,9634,383,1143,4217,275
Amatenango de la Frontera,"5,453",Amatenango de la Frontera,Total del Municipio,2306,1407,3,1445,7043,97
Amatenango del Valle,262,Amatenango del Valle,Total del Municipio,393,9263,996,317,2050,55
Angel Albino Corzo,"3,778",Angel Albino Corzo,Total del Municipio,2423,2052,49,1155,6134,149
Arriaga,"11,344",Arriaga,Total del Municipio,4696,515,0,2595,11963,151
Bejucal de Ocampo,343,Bejucal de Ocampo,Total del Municipio,608,71,1,291,1461,12
Bella Vista,"2,494",Bella Vista,Total del Municipio,1346,421,2,1088,3968,101
Berriozábal,"19,356",Berriozábal,Total del Municipio,6341,4680,121,2681,14613,194
Bochil,"4,410",Bochil,Total del Municipio,2012,19881,1811,1345,6557,58
El Bosque,489,El Bosque,Total del Municipio,1077,23704,4513,624,4090,109
Cacahoatán,"6,979",Cacahoatán,Total del Municipio,3975,3461,12,2091,11284,125
Catazajá,"6,595",Catazajá,Total del Municipio,1862,797,20,1399,4348,103
Cintalapa,"17,556",Cintalapa,Total del Municipio,8316,8231,400,4262,19982,387
Coapilla,"1,473",Coapilla,Total del Municipio,952,2045,5,479,2166,19
Comitán de Domínguez,"34,140",Comitán de Domínguez,Total del Municipio,13193,12050,109,6231,41650,250
La Concordia,"11,449",La Concordia,Total del Municipio,4713,5251,190,2748,10847,318
Copainalá,"4,393",Copainalá,Total del Municipio,2483,3830,10,1114,5428,120
Chalchihuitán,246,Chalchihuitán,Total del Municipio,1151,21884,11978,553,2883,632
Chamula,"3,096",Chamula,Total del Municipio,3394,101587,41120,2127,18050,301
Chanal,110,Chanal,Total del Municipio,660,13611,3783,493,1592,66
Chapultenango,684,Chapultenango,Total del Municipio,792,7050,117,452,1364,70
Chenalhó,474,Chenalhó,Total del Municipio,994,47024,22543,694,6264,306
Chiapa de Corzo,"23,327",Chiapa de Corzo,Total del Municipio,8087,7231,108,4375,27781,207
Chiapilla,861,Chiapilla,Total del Municipio,666,367,0,322,1576,18
Chicoasén,477,Chicoasén,Total del Municipio,603,695,2,344,1351,8
Chicomuselo,"6,204",Chicomuselo,Total del Municipio,2755,482,4,1552,7466,177
Chilón,"3,830",Chilón,Total del Municipio,6152,133849,36839,4178,20233,1680
Escuintla,"7,220",Escuintla,Total del Municipio,2844,335,1,1531,7241,192
Francisco León,961,Francisco León,Total del Municipio,684,6062,71,273,1187,25
Frontera Comalapa,"16,129",Frontera Comalapa,Total del Municipio,8242,2699,51,4213,18463,248
Frontera Hidalgo,"3,580",Frontera Hidalgo,Total del Municipio,1229,70,0,595,3337,64
La Grandeza,527,La Grandeza,Total del Municipio,444,152,0,284,1425,10
Huehuetán,"15,902",Huehuetán,Total del Municipio,3347,207,0,1556,8613,138
Huixtán,399,Huixtán,Total del Municipio,1388,22415,3958,854,3617,133
Huitiupán,"1,319",Huitiupán,Total del Municipio,2077,20532,1230,1128,4605,80
Huixtla,"18,310",Huixtla,Total del Municipio,5219,495,6,2575,13004,197
La Independencia,"3,421",La Independencia,Total del Municipio,2634,3290,29,1439,10207,76
Ixhuatán,"1,543",Ixhuatán,Total del Municipio,1194,5652,454,830,2366,22
Ixtacomitán,"3,567",Ixtacomitán,Total del Municipio,994,3608,12,604,2391,95
Ixtapa,"2,418",Ixtapa,Total del Municipio,1942,8188,483,1256,5249,52
Ixtapangajoya,"1,730",Ixtapangajoya,Total del Municipio,679,1148,35,285,1290,63
Jiquipilas,"12,402",Jiquipilas,Total del Municipio,4404,3641,75,2449,10314,146
Jitotol,924,Jitotol,Total del Municipio,1416,19046,1831,1056,4694,46
Juárez,"11,177",Juárez,Total del Municipio,2350,1478,6,1499,5701,41
Larráinzar,639,Larráinzar,Total del Municipio,1389,31072,10863,740,5572,66
La Libertad,"2,743",La Libertad,Total del Municipio,750,256,4,442,1552,27
Mapastepec,"12,735",Mapastepec,Total del Municipio,4405,418,0,2237,11881,168
Las Margaritas,"5,608",Las Margaritas,Total del Municipio,6687,78843,7860,4315,24272,795
Mazapa de Madero,"1,045",Mazapa de Madero,Total del Municipio,500,830,0,407,1549,19
Mazatán,"12,464",Mazatán,Total del Municipio,2657,173,1,1424,6969,79
Metapa,"1,608",Metapa,Total del Municipio,694,71,0,417,1421,19
Mitontic,173,Mitontic,Total del Municipio,172,13567,6621,60,1978,21
Motozintla,"9,805",Motozintla,Total del Municipio,4273,2895,6,2615,14880,166
Nicolás Ruíz,117,Nicolás Ruíz,Total del Municipio,521,77,1,205,946,5
Ocosingo,"11,814",Ocosingo,Total del Municipio,10701,198387,30195,6657,33546,3049
Ocotepec,924,Ocotepec,Total del Municipio,616,13954,2210,383,2302,30
Ocozocoautla de Espinosa,"17,525",Ocozocoautla de Espinosa,Total del Municipio,7891,20846,636,4482,20978,538
Ostuacán,"8,818",Ostuacán,Total del Municipio,2395,1847,4,1331,4029,125
Osumacinta,690,Osumacinta,Total del Municipio,414,581,2,203,992,6
Oxchuc,658,Oxchuc,Total del Municipio,1904,54054,12354,1347,5823,1179
Palenque,"33,797",Palenque,Total del Municipio,11696,70996,4609,6450,31707,604
Pantelhó,382,Pantelhó,Total del Municipio,847,25482,10347,673,3877,157
Pantepec,"1,275",Pantepec,Total del Municipio,1229,7712,59,625,2230,27
Pichucalco,"11,318",Pichucalco,Total del Municipio,2960,1487,3,1986,8000,117
Pijijiapan,"14,814",Pijijiapan,Total del Municipio,6049,829,35,2961,14007,168
El Porvenir,336,El Porvenir,Total del Municipio,566,815,0,404,2157,18
Villa Comaltitlán,"15,976",Villa Comaltitlán,Total del Municipio,3337,334,4,1537,7009,106
Pueblo Nuevo Solistahuacán,"1,607",Pueblo Nuevo Solistahuacán,Total del Municipio,2800,12416,1376,2334,5132,74
Rayón,"1,032",Rayón,Total del Municipio,1222,6211,23,769,2058,31
Reforma,"15,630",Reforma,Total del Municipio,4978,621,3,3255,11757,83
Las Rosas,"1,849",Las Rosas,Total del Municipio,2079,3872,24,1014,5721,112
Sabanilla,"2,041",Sabanilla,Total del Municipio,1656,25953,1830,682,5340,132
Salto de Agua,"8,572",Salto de Agua,Total del Municipio,3071,55785,9268,2344,12291,525
San Cristóbal de las Casas,"39,697",San Cristóbal de las Casas,Total del Municipio,16783,103865,6765,6800,47580,257
