REL_H_M,PROM_HNV,P3HLI_HE,P5_HLI_HE,GRAPROES,GRAPROES_F,GRAPROES_M,PROM_OCUP,PRO_OCUP_C,ic_ali,NOM_ENT
94.9,1.98,1792,1776,10.84,10.75,10.93,3.54,0.84,15.8,Aguascalientes
96.14,2.62,22,22,8.54,8.68,8.38,4.1,1.07,28.5,Aguascalientes
96.21,2.67,74,72,8.05,8.31,7.78,3.74,0.97,20.1,Aguascalientes
95.22,2.51,7,7,9.08,9.1,9.07,4.32,1.14,25.0,Aguascalientes
100.37,2.62,8,8,8.49,8.56,8.43,3.91,1.05,17.9,Aguascalientes
97.73,2.11,149,149,10.22,10.25,10.18,3.91,0.95,16.6,Aguascalientes
96.32,2.37,52,52,9.77,9.8,9.73,4.15,1.0,23.8,Aguascalientes
96.01,2.46,211,207,9.6,9.65,9.55,4.22,1.06,10.5,Aguascalientes
98.12,2.16,107,105,9.21,9.25,9.16,3.78,1.06,21.9,Aguascalientes
90.28,2.66,21,21,9.24,9.45,9.0,4.01,0.99,24.4,Aguascalientes
97.74,2.65,18,18,8.56,8.71,8.4,4.14,1.08,21.2,Aguascalientes
99.46,1.93,11250,11128,10.34,10.38,10.3,3.15,0.86,12.5,Baja California
101.67,1.95,5110,5075,10.53,10.53,10.53,3.16,0.83,10.7,Baja California
103.01,2.02,1172,1161,9.58,9.59,9.56,3.31,0.94,11.0,Baja California
103.44,2.26,16512,16343,7.83,7.84,7.82,3.57,1.19,13.6,Baja California
111.34,2.06,685,676,9.79,9.91,9.68,3.3,0.89,9.8,Baja California
101.57,1.84,12101,12030,10.18,10.12,10.25,3.31,0.93,20.5,Baja California
101.62,2.27,793,782,9.27,9.37,9.17,3.26,0.94,24.2,Baja California Sur
99.57,1.88,3093,3066,11.07,11.08,11.05,3.18,0.86,15.6,Baja California Sur
105.25,2.06,202,201,9.99,10.14,9.84,3.18,1.04,22.6,Baja California Sur
106.33,1.78,6212,6178,10.17,10.24,10.11,3.44,1.21,23.8,Baja California Sur
106.85,2.16,2948,2941,9.13,9.18,9.08,3.24,0.98,21.2,Baja California Sur
103.13,2.84,7226,7010,7.43,7.4,7.46,3.95,1.55,27.0,Campeche
97.03,2.2,25578,25314,9.4,9.12,9.71,3.87,1.32,19.4,Campeche
92.81,1.85,12970,12928,10.72,10.59,10.87,3.44,0.95,27.8,Campeche
101.87,2.79,2734,2682,7.25,7.3,7.2,3.53,1.38,28.4,Campeche
97.81,1.88,3459,3441,10.26,10.11,10.43,3.44,1.13,26.5,Campeche
99.72,2.41,6570,6554,8.12,8.07,8.16,3.64,1.23,16.0,Campeche
96.76,2.52,2992,2958,8.18,8.23,8.13,3.56,1.31,16.0,Campeche
96.97,2.19,10632,10591,9.27,8.91,9.64,3.85,1.27,28.0,Campeche
102.48,2.56,14096,14024,7.5,7.39,7.6,4.11,1.24,25.3,Campeche
103.83,2.36,65,65,8.46,8.47,8.46,3.41,1.21,35.2,Campeche
99.7,2.11,417,417,9.0,8.83,9.18,3.58,1.12,27.7,Campeche
102.51,2.22,1947,1942,8.75,8.39,9.1,3.74,1.34,23.002027575020275,Campeche
100.0,2.71,43,43,7.12,7.12,7.11,4.08,1.42,6.2,Chiapas
96.67,2.35,1299,1263,7.26,7.18,7.34,3.9,1.71,15.0,Chiapas
96.14,2.59,33,33,7.15,7.1,7.2,3.53,1.22,7.6,Chiapas
90.99,2.79,3229,3199,5.79,5.2,6.44,5.13,1.85,18.1,Chiapas
99.47,2.49,17452,17014,6.05,5.53,6.59,4.53,1.33,21.7,Chiapas
94.61,2.65,538,534,6.55,6.39,6.72,4.19,1.28,13.6,Chiapas
90.91,2.24,6355,6178,5.15,4.38,6.07,4.41,1.56,13.8,Chiapas
101.18,2.81,5548,5460,6.58,6.46,6.7,4.32,1.37,23.8,Chiapas
99.15,2.63,906,880,6.66,6.49,6.84,4.37,1.47,29.9,Chiapas
94.21,2.27,193,193,8.45,8.29,8.62,3.32,1.12,13.8,Chiapas
98.36,2.89,17,17,6.49,6.27,6.72,4.7,1.34,14.5,Chiapas
98.49,2.89,127,126,6.84,6.54,7.15,4.46,1.27,36.7,Chiapas
100.21,2.74,5101,4918,6.6,6.5,6.71,4.29,1.5,41.4,Chiapas
97.54,2.27,2290,2253,8.1,7.81,8.4,3.98,1.31,31.2,Chiapas
95.55,2.54,12717,12375,7.46,7.18,7.75,4.4,1.44,12.2,Chiapas
95.1,2.42,1298,1288,8.26,8.17,8.36,4.11,1.3,5.7,Chiapas
111.42,3.02,12,12,6.32,5.97,6.62,5.36,1.48,24.9,Chiapas
101.66,2.51,442,440,7.54,7.29,7.78,3.65,1.5,17.9,Chiapas
98.47,2.83,5474,5372,4.91,4.29,5.57,4.55,1.99,15.5,Chiapas
85.33,2.5,44109,43535,4.37,3.9,4.96,4.5,1.67,17.4,Chiapas
96.98,3.4,7245,6991,6.33,5.88,6.8,6.23,2.0,8.1,Chiapas
99.95,2.79,5428,5266,7.69,7.64,7.75,4.28,1.22,10.0,Chiapas
95.93,2.37,15911,15617,4.89,4.3,5.53,4.98,1.74,35.4,Chiapas
96.94,2.01,4014,3909,8.9,8.63,9.17,3.77,1.28,20.8,Chiapas
101.84,2.37,173,173,6.14,5.97,6.31,3.78,1.67,14.4,Chiapas
100.0,2.4,416,410,7.37,6.94,7.82,3.66,1.46,30.3,Chiapas
97.28,2.7,257,246,6.3,6.11,6.49,4.17,1.36,11.1,Chiapas
96.24,2.72,75421,73432,6.07,5.21,6.98,5.13,1.8,10.0,Chiapas
98.31,2.37,5447,5250,8.04,8.01,8.06,3.98,1.26,11.7,Chiapas
96.94,2.59,1027,1008,6.96,6.87,7.06,4.03,1.29,11.1,Chiapas
91.59,2.02,6234,6097,8.55,8.22,8.92,3.73,1.02,11.9,Chiapas
95.59,2.48,1955,1908,7.84,7.8,7.88,3.66,1.27,7.7,Chiapas
93.23,2.47,15632,15134,5.91,5.51,6.35,4.8,1.57,29.3,Chiapas
94.93,2.27,549,528,7.09,6.95,7.24,3.65,1.43,12.9,Chiapas
99.11,2.65,269,265,7.34,7.04,7.64,5.1,1.44,15.0,Chiapas
99.24,2.39,1977,1939,7.47,7.28,7.66,3.8,1.32,33.7,Chiapas
97.02,2.71,110,109,7.52,7.43,7.6,3.92,1.37,9.9,Chiapas
102.83,2.87,4568,4422,6.4,6.32,6.49,4.79,1.46,24.4,Chiapas
93.82,2.43,1388,1352,7.16,6.88,7.48,4.01,1.17,23.2,Chiapas
97.24,2.36,75,75,7.84,7.72,7.97,3.91,1.38,17.2,Chiapas
102.5,2.88,7,7,6.17,5.99,6.35,4.97,1.57,20.7,Chiapas
95.11,2.37,71,71,8.13,7.92,8.36,3.8,1.31,20.0,Chiapas
100.7,2.9,12392,12056,6.16,5.82,6.51,4.44,1.64,16.0,Chiapas
96.01,2.29,588,588,8.34,8.16,8.53,3.68,1.27,21.2,Chiapas
96.18,2.72,14993,14545,6.3,5.82,6.82,4.99,1.52,11.2,Chiapas
94.88,2.66,3405,3331,7.11,6.98,7.25,4.34,1.22,17.5,Chiapas
97.78,2.5,2089,2035,8.45,8.36,8.55,4.12,1.26,26.3,Chiapas
97.1,2.37,4682,4580,7.09,6.81,7.38,4.7,1.7,13.1,Chiapas
98.73,2.38,750,739,6.98,6.9,7.05,4.03,1.31,18.1,Chiapas
98.44,2.46,2270,2183,7.74,7.6,7.88,3.64,1.14,31.3,Chiapas
99.11,2.75,13218,12833,7.24,6.97,7.53,4.58,1.47,15.1,Chiapas
97.62,2.45,1225,1152,7.85,7.78,7.93,3.57,1.11,20.4,Chiapas
101.4,2.57,3342,3208,6.52,6.41,6.63,4.07,1.48,14.8,Chiapas
95.66,2.93,39,39,7.63,7.4,7.88,5.0,1.4,11.7,Chiapas
94.73,2.35,2095,2010,6.01,5.74,6.31,4.18,1.19,4.3,Chiapas
99.31,2.3,156,149,7.56,7.4,7.73,3.3,1.1,15.7,Chiapas
93.29,2.41,7454,7161,6.34,6.1,6.61,3.98,1.1,34.9,Chiapas
94.7,2.94,14112,13937,6.32,5.85,6.82,5.2,1.9,2.6,Chiapas
95.5,2.48,51363,50168,6.22,5.89,6.57,4.88,1.38,16.1,Chiapas
96.18,2.37,1626,1602,6.06,5.92,6.21,3.99,1.26,19.0,Chiapas
97.57,2.6,155,154,7.13,7.06,7.21,3.61,1.22,40.9,Chiapas
99.32,2.84,5333,5150,5.68,5.41,5.95,4.96,1.78,16.3,Chiapas
101.63,2.8,4282,4142,6.21,6.06,6.36,4.44,1.5,20.4,Chiapas
97.23,2.87,258,258,6.84,6.67,7.03,4.66,1.34,37.1,Chiapas
98.48,2.41,78,77,7.69,7.61,7.78,3.6,1.37,19.9,Chiapas
88.33,2.36,20,20,8.58,8.28,8.92,3.73,1.17,21.5,Chiapas
96.3,2.77,4935,4809,6.89,6.78,7.0,4.09,1.4,22.9,Chiapas
95.88,2.77,4175,4118,4.47,4.07,4.92,5.02,1.61,26.3,Chiapas
100.43,2.88,123,120,6.39,6.31,6.47,4.6,1.38,10.1,Chiapas
96.03,2.67,877,872,7.21,7.03,7.4,4.59,1.4,28.8,Chiapas
104.95,2.61,21,20,6.22,6.27,6.18,4.54,1.98,13.7,Chiapas
97.37,2.59,121865,118028,6.59,6.07,7.13,4.99,1.67,29.3,Chiapas
95.42,3.1,9714,9344,5.63,5.38,5.9,4.79,1.77,14.7,Chiapas
97.45,2.39,14278,13753,7.51,7.34,7.69,4.06,1.36,11.4,Chiapas
99.0,2.7,677,676,7.28,7.23,7.33,4.12,1.3,25.0,Chiapas
98.75,2.45,401,384,7.91,7.56,8.28,3.82,1.4,22.7,Chiapas
100.35,2.77,31687,30611,7.15,6.61,7.68,5.42,1.82,19.5,Chiapas
96.86,2.44,45559,44233,7.81,7.56,8.08,3.91,1.47,25.8,Chiapas
96.35,2.6,10170,9987,4.66,4.05,5.31,5.33,1.92,4.9,Chiapas
97.46,2.7,4204,4165,6.46,6.33,6.6,4.15,1.6,18.2,Chiapas
96.22,2.29,570,568,8.45,8.41,8.5,3.7,1.17,18.0,Chiapas
96.28,2.51,362,352,7.4,7.33,7.47,3.43,1.22,25.3,Chiapas
94.92,2.62,7132,6913,6.53,6.27,6.82,4.51,1.56,29.9,Chiapas
96.92,2.67,3458,3416,7.59,7.27,7.92,4.42,1.44,1.9,Chiapas
95.58,2.33,254,250,8.91,8.66,9.18,3.58,1.22,21.0,Chiapas
85.85,2.74,4377,4263,5.36,5.27,5.47,4.72,1.74,29.3,Chiapas
99.69,2.69,18036,17433,6.72,6.22,7.22,4.41,1.61,27.2,Chiapas
98.27,2.63,38657,37561,6.52,5.9,7.16,4.32,1.66,22.0,Chiapas
93.88,2.51,4080,3948,4.99,4.53,5.49,4.61,1.68,22.2,Chiapas
90.06,1.93,58814,57747,9.4,9.02,9.85,4.08,1.1,27.0,Chiapas
99.77,2.33,980,963,7.28,6.98,7.59,3.99,1.31,16.3,Chiapas
95.3,2.73,9646,9548,5.4,4.39,6.48,5.45,1.86,43.4,Chiapas
101.55,2.59,1111,1059,5.98,5.99,5.98,4.11,1.95,16.7,Chiapas
97.73,2.54,2432,2407,5.67,4.43,6.97,5.44,1.97,30.5,Chiapas
100.89,2.81,61,61,6.78,6.56,7.01,4.98,1.53,13.7,Chiapas
95.71,2.64,20471,20029,6.07,5.69,6.49,4.93,1.92,25.5,Chiapas
96.58,2.39,5574,5480,4.52,3.73,5.37,4.78,1.74,10.2,Chiapas
97.25,2.4,1104,1085,6.35,6.36,6.35,3.77,1.18,38.2,Chiapas
103.01,2.79,1440,1425,7.09,6.98,7.2,4.13,1.26,23.8,Chiapas
100.74,2.56,3281,3164,6.9,6.64,7.16,4.24,1.46,7.5,Chiapas
99.11,2.29,142,141,8.67,8.36,8.99,4.03,1.57,15.6,Chiapas
96.65,2.31,124,120,6.78,6.63,6.94,3.77,1.46,25.8,Chiapas
103.71,2.86,12,12,7.69,7.73,7.65,4.11,1.09,24.0,Chiapas
94.24,2.03,3309,3286,9.33,9.15,9.53,3.64,1.19,4.1,Chiapas
94.48,2.72,3751,3623,7.07,7.02,7.13,4.04,1.48,8.6,Chiapas
93.34,2.45,1130,1125,8.48,8.47,8.5,3.9,1.28,27.8,Chiapas
99.09,2.6,3742,3658,6.86,6.79,6.93,3.67,1.35,23.1,Chiapas
93.78,2.6,22148,21888,5.86,5.15,6.64,5.23,1.78,11.0,Chiapas
93.7,2.52,15453,15110,5.59,5.22,5.99,4.43,1.45,18.8,Chiapas
99.75,2.77,49317,48085,6.47,5.85,7.1,4.63,1.57,20.8,Chiapas
97.1,2.34,336,332,8.47,8.39,8.55,3.59,1.25,13.3,Chiapas
101.93,2.56,338,333,5.87,5.83,5.91,4.16,2.01,13.0,Chiapas
94.82,2.62,24284,23547,6.17,5.42,6.97,4.74,1.58,38.8,Chiapas
93.08,2.25,86,85,8.54,8.36,8.74,3.86,1.24,16.9,Chiapas
90.81,1.77,12719,12563,11.04,10.68,11.45,3.63,1.03,26.2,Chiapas
96.74,2.53,138,137,7.49,7.37,7.61,3.93,1.4,17.1,Chiapas
96.16,2.3,284,270,6.45,6.28,6.63,3.54,1.03,26.2,Chiapas
96.15,2.5,156,156,8.13,8.02,8.24,4.06,1.24,5.8,Chiapas
99.13,2.39,14061,13589,6.59,6.42,6.76,3.76,1.46,23.4,Chiapas
105.84,2.7,138,137,7.27,7.13,7.4,3.79,1.36,31.3,Chiapas
97.14,2.39,4663,4484,7.35,7.22,7.49,3.9,1.5,30.6,Chiapas
96.55,2.31,2385,2324,8.07,7.9,8.25,3.74,1.3,43.8,Chiapas
94.66,2.35,18428,17961,6.91,6.43,7.43,4.59,1.61,19.1,Chiapas
87.04,2.3,27414,27040,4.57,3.97,5.3,4.95,1.73,3.1,Chiapas
101.64,2.26,78,75,7.78,8.02,7.53,3.46,0.88,19.8,Chihuahua
97.25,2.15,270,264,9.41,9.6,9.2,3.15,0.76,24.6,Chihuahua
100.59,2.35,168,161,9.13,9.57,8.7,3.09,0.7,10.6,Chihuahua
124.37,1.87,225,224,9.15,9.33,9.01,3.01,0.93,21.1,Chihuahua
102.87,2.46,485,469,7.76,7.98,7.55,3.29,0.88,22.9,Chihuahua
102.69,2.63,208,206,6.88,7.29,6.47,2.89,0.69,22.7,Chihuahua
98.12,2.76,6364,6202,5.38,5.34,5.42,3.78,1.15,30.7,Chihuahua
98.66,2.69,4403,4319,3.59,3.65,3.52,3.98,1.65,11.7,Chihuahua
88.73,2.3,3016,2937,7.93,8.03,7.81,3.06,1.06,31.6,Chihuahua
98.99,2.42,887,858,7.87,8.1,7.65,3.21,0.81,27.1,Chihuahua
97.59,2.11,942,900,9.49,9.62,9.36,3.15,0.78,30.9,Chihuahua
97.06,2.55,2734,2675,4.63,4.74,4.51,3.63,1.12,17.3,Chihuahua
104.06,2.51,289,276,8.5,8.77,8.24,3.18,0.83,21.3,Chihuahua
95.17,1.84,9160,8953,11.42,11.41,11.44,3.11,0.7,10.9,Chihuahua
102.94,2.81,757,737,7.14,7.27,7.02,3.47,1.1,27.0,Chihuahua
108.62,2.79,9,9,8.0,8.4,7.64,3.02,0.7,25.7,Chihuahua
106.03,2.68,16,16,6.97,7.42,6.55,2.76,0.67,14.7,Chihuahua
95.88,2.1,2764,2662,9.4,9.51,9.29,3.15,0.74,28.0,Chihuahua
109.06,2.54,284,274,6.64,7.02,6.31,3.0,0.66,20.8,Chihuahua
96.28,2.04,786,775,10.2,10.24,10.15,3.15,0.76,25.2,Chihuahua
102.64,2.72,128,123,6.63,6.98,6.3,2.56,0.53,23.1,Chihuahua
100.55,2.77,30,30,6.87,7.19,6.54,3.07,0.66,28.3,Chihuahua
98.27,2.65,371,355,7.36,7.73,6.99,3.66,1.01,14.6,Chihuahua
104.51,2.89,59,55,6.9,7.14,6.67,2.68,0.59,14.7,Chihuahua
93.88,2.53,22458,21971,6.71,6.7,6.72,3.67,1.26,24.1,Chihuahua
101.38,2.34,3,3,7.95,8.12,7.77,3.06,0.77,25.8,Chihuahua
99.38,2.86,13771,13309,5.86,6.04,5.68,4.11,1.33,17.0,Chihuahua
100.34,2.92,1843,1755,6.52,6.67,6.35,3.69,1.21,15.7,Chihuahua
99.61,2.51,1009,976,7.75,8.05,7.44,2.99,0.79,31.6,Chihuahua
97.39,2.52,28,28,8.0,8.31,7.68,2.75,0.66,27.6,Chihuahua
93.1,2.12,927,919,10.34,10.44,10.25,3.38,0.78,27.5,Chihuahua
99.52,2.8,11,10,6.95,7.48,6.46,2.93,0.71,7.2,Chihuahua
100.54,2.82,11,11,7.47,7.75,7.18,2.66,0.62,43.4,Chihuahua
109.82,2.63,385,374,6.95,7.11,6.8,3.38,0.76,32.6,Chihuahua
97.66,2.27,441,425,9.55,9.74,9.35,3.45,0.83,12.2,Chihuahua
102.19,2.46,29,27,7.93,8.27,7.6,2.95,0.74,20.8,Chihuahua
100.2,1.96,7899,7857,10.18,10.09,10.28,3.35,0.87,26.1,Chihuahua
103.18,2.51,70,67,8.45,8.81,8.09,3.17,0.75,24.4,Chihuahua
105.59,2.56,160,153,8.59,8.93,8.27,3.13,0.76,15.8,Chihuahua
97.39,2.61,332,325,7.99,8.31,7.66,3.09,0.78,9.9,Chihuahua
91.19,2.42,195,189,6.41,6.74,6.06,2.86,1.32,20.3,Chihuahua
113.41,1.84,5,5,6.43,6.77,6.13,2.51,0.63,34.3,Chihuahua
106.48,2.7,19,19,7.32,7.77,6.9,2.77,0.71,11.5,Chihuahua
100.56,2.61,68,65,8.26,8.64,7.88,3.11,0.73,54.8,Chihuahua
99.6,2.24,511,499,8.78,8.95,8.6,3.23,0.81,25.4,Chihuahua
101.78,2.97,2069,2008,5.45,5.52,5.39,3.83,1.17,31.5,Chihuahua
110.46,2.83,151,142,6.41,6.57,6.26,3.31,0.94,12.9,Chihuahua
100.6,2.6,222,213,7.61,7.89,7.32,2.93,0.66,23.002027575020275,Chihuahua
99.78,2.68,314,308,6.82,7.28,6.37,3.28,0.88,15.7,Chihuahua
95.61,2.19,520,513,9.9,9.97,9.82,3.13,0.75,7.7,Chihuahua
102.32,2.62,70,69,7.19,7.51,6.88,3.42,1.13,6.2,Chihuahua
98.8,2.25,91,84,8.61,8.74,8.47,2.98,0.72,14.3,Chihuahua
103.46,2.52,3,3,7.61,7.65,7.58,3.03,0.76,20.1,Chihuahua
102.39,2.83,85,80,6.72,6.69,6.75,3.53,0.64,9.9,Chihuahua
100.65,2.26,177,175,8.4,8.69,8.1,3.15,0.8,50.1,Chihuahua
108.53,2.64,25,25,6.82,7.17,6.49,3.05,0.7,40.7,Chihuahua
110.24,2.58,172,169,6.97,7.12,6.85,2.74,0.65,18.3,Chihuahua
108.19,2.42,29,29,8.52,8.81,8.25,2.9,0.71,13.4,Chihuahua
98.57,2.37,35,35,9.58,9.62,9.54,3.21,0.7,7.1,Chihuahua
100.9,2.39,94,93,9.46,9.67,9.25,3.35,0.77,26.1,Chihuahua
96.73,2.53,59,58,7.92,8.26,7.58,2.94,0.67,18.4,Chihuahua
112.18,2.64,72,70,7.0,7.19,6.84,2.79,0.62,9.8,Chihuahua
98.63,2.29,148,144,8.86,9.11,8.59,3.29,0.8,2.3,Chihuahua
100.45,2.62,336,327,6.98,7.46,6.49,2.86,0.81,6.8,Chihuahua
96.23,2.58,7188,6940,5.44,5.51,5.38,3.56,1.28,15.6,Chihuahua
101.99,2.69,1176,1142,5.86,6.15,5.57,3.46,1.16,8.8,Chihuahua
102.67,2.74,56,54,7.12,7.5,6.75,2.87,0.71,10.1,Chihuahua
90.19,1.6,3159,3150,11.91,11.7,12.14,3.21,0.77,13.7,Ciudad de M̩xico
87.11,1.11,3517,3506,14.55,14.22,14.93,2.46,0.56,11.9,Ciudad de M̩xico
88.86,1.55,7630,7584,12.51,12.29,12.77,3.2,0.7,10.0,Ciudad de M̩xico
91.73,1.66,1995,1983,11.44,11.2,11.71,3.6,0.81,7.3,Ciudad de M̩xico
91.58,1.4,8921,8875,12.41,12.1,12.75,2.75,0.72,4.9,Ciudad de M̩xico
92.52,1.74,13910,13839,11.11,10.98,11.25,3.42,0.83,19.5,Ciudad de M̩xico
90.59,1.66,4345,4316,11.52,11.34,11.73,3.43,0.82,12.9,Ciudad de M̩xico
93.65,1.8,28059,27932,10.42,10.33,10.52,3.61,0.92,45.8,Ciudad de M̩xico
91.46,1.75,2833,2824,10.84,10.71,10.99,3.62,0.87,5.5,Ciudad de M̩xico
89.25,1.37,3545,3539,13.11,12.76,13.52,2.81,0.66,36.0,Ciudad de M̩xico
94.97,1.89,4836,4828,9.95,9.91,9.99,3.9,1.03,11.9,Ciudad de M̩xico
91.73,1.66,11730,11680,11.5,11.36,11.66,3.44,0.81,21.8,Ciudad de M̩xico
94.1,1.81,4798,4775,10.53,10.38,10.69,3.67,0.93,11.2,Ciudad de M̩xico
89.95,1.64,4882,4837,11.46,11.26,11.69,3.26,0.82,2.5,Ciudad de M̩xico
95.03,1.77,10489,10423,10.84,10.76,10.92,3.74,0.91,5.9,Ciudad de M̩xico
90.68,1.66,8322,8288,11.28,11.11,11.49,3.45,0.81,9.1,Ciudad de M̩xico
109.86,2.51,1,1,8.94,9.04,8.85,2.82,0.66,11.6,Coahuila de Zaragoza
101.02,2.07,432,430,9.4,9.32,9.48,3.45,0.98,11.7,Coahuila de Zaragoza
98.59,2.21,12,11,9.47,9.49,9.44,3.36,0.83,9.5,Coahuila de Zaragoza
102.27,2.22,55,55,9.82,9.9,9.74,3.42,0.84,9.8,Coahuila de Zaragoza
105.38,2.69,0,0,7.74,7.93,7.54,3.49,0.9,16.8,Coahuila de Zaragoza
100.44,2.26,16,16,9.63,9.64,9.61,3.47,0.86,20.4,Coahuila de Zaragoza
100.24,2.59,12,12,8.91,8.98,8.85,3.36,0.87,1.6,Coahuila de Zaragoza
100.72,2.59,1,1,8.28,8.46,8.11,3.36,0.89,14.8,Coahuila de Zaragoza
97.98,2.26,47,47,9.38,9.36,9.39,3.71,0.97,12.8,Coahuila de Zaragoza
100.02,2.12,52,51,10.0,9.87,10.13,3.52,0.86,16.6,Coahuila de Zaragoza
104.89,2.67,2,2,8.41,8.54,8.29,3.49,0.95,45.6,Coahuila de Zaragoza
116.18,2.56,10,9,7.79,8.15,7.48,3.13,0.82,9.7,Coahuila de Zaragoza
106.79,2.52,0,0,8.12,8.28,7.97,3.53,0.96,10.6,Coahuila de Zaragoza
104.56,2.45,3,3,7.69,7.85,7.53,3.43,0.94,23.7,Coahuila de Zaragoza
98.5,2.57,0,0,8.3,8.55,8.06,3.26,0.94,17.4,Coahuila de Zaragoza
111.0,2.22,1,1,8.88,8.76,8.99,3.19,0.74,12.7,Coahuila de Zaragoza
98.4,2.27,364,364,9.16,9.22,9.09,3.78,0.98,5.9,Coahuila de Zaragoza
98.47,2.07,218,218,10.86,10.73,11.0,3.4,0.77,15.6,Coahuila de Zaragoza
98.55,2.29,2,2,9.26,9.38,9.13,3.38,0.86,2.8,Coahuila de Zaragoza
100.24,2.35,100,100,9.16,9.23,9.08,3.47,0.88,11.7,Coahuila de Zaragoza
98.39,2.15,6,6,9.52,9.53,9.51,3.31,0.82,8.5,Coahuila de Zaragoza
100.42,2.26,22,22,9.27,9.22,9.31,3.53,0.89,17.9,Coahuila de Zaragoza
107.35,2.66,2,2,8.39,8.32,8.45,3.57,0.93,4.8,Coahuila de Zaragoza
102.72,2.42,66,66,9.45,9.57,9.32,3.48,0.88,7.9,Coahuila de Zaragoza
101.25,2.04,250,247,10.1,10.03,10.16,3.38,0.87,12.6,Coahuila de Zaragoza
101.81,2.68,1,1,7.9,8.08,7.73,3.24,0.85,4.8,Coahuila de Zaragoza
105.38,1.92,406,404,10.43,10.32,10.53,3.52,0.89,10.0,Coahuila de Zaragoza
98.97,2.09,84,82,9.98,9.97,9.99,3.2,0.78,15.2,Coahuila de Zaragoza
101.06,2.2,0,0,9.12,9.27,8.97,3.41,0.81,12.7,Coahuila de Zaragoza
99.01,1.97,2110,2091,11.02,10.87,11.17,3.62,0.81,33.8,Coahuila de Zaragoza
98.33,2.12,19,19,10.22,10.17,10.27,3.25,0.74,38.7,Coahuila de Zaragoza
98.05,2.12,26,25,10.04,10.17,9.9,3.22,0.76,10.6,Coahuila de Zaragoza
97.76,2.35,162,157,9.02,9.11,8.93,3.79,0.98,10.9,Coahuila de Zaragoza
109.64,2.36,9,9,9.26,9.2,9.3,3.39,0.98,11.9,Coahuila de Zaragoza
95.3,1.94,879,875,11.12,11.0,11.25,3.34,0.81,15.1,Coahuila de Zaragoza
101.54,2.55,11,11,7.98,8.13,7.83,3.77,1.0,17.6,Coahuila de Zaragoza
102.35,2.46,2,2,8.52,8.81,8.24,3.4,0.91,13.2,Coahuila de Zaragoza
99.68,2.43,10,10,8.59,8.8,8.38,3.29,0.86,20.3,Coahuila de Zaragoza
101.86,2.62,102,102,7.77,7.92,7.62,3.35,1.09,15.8,Colima
94.14,2.02,599,593,10.83,10.81,10.86,3.08,0.84,23.9,Colima
101.16,2.36,67,66,9.09,9.28,8.91,3.43,1.01,16.4,Colima
101.27,2.4,186,183,8.48,8.72,8.25,3.36,1.03,18.0,Colima
101.23,2.29,1081,1071,9.22,9.42,9.01,3.35,0.94,19.7,Colima
105.52,2.56,15,15,8.01,8.48,7.56,3.28,1.11,19.0,Colima
99.17,1.95,889,885,10.11,10.08,10.13,3.19,0.99,5.7,Colima
104.74,2.49,21,21,8.85,8.8,8.91,3.51,1.09,12.6,Colima
98.89,2.33,1624,1580,8.22,8.35,8.08,3.52,1.17,8.3,Colima
93.47,1.79,386,385,11.56,11.53,11.6,3.05,0.88,10.8,Colima
99.04,2.62,74,73,9.23,9.23,9.24,3.56,0.83,14.4,Durango
104.69,2.9,1,1,6.44,6.73,6.17,3.7,1.0,6.1,Durango
102.18,3.26,6,5,7.81,8.17,7.46,3.86,0.9,16.5,Durango
100.43,2.68,30,30,8.63,8.79,8.46,3.74,0.97,17.8,Durango
94.94,2.12,4244,4114,10.74,10.82,10.66,3.66,0.85,15.8,Durango
99.65,2.72,46,44,8.77,9.06,8.48,3.19,0.73,16.8,Durango
98.5,2.99,1,1,7.11,7.4,6.82,3.81,1.0,22.7,Durango
96.91,2.42,44,42,9.0,9.11,8.88,3.6,0.84,18.4,Durango
109.27,2.7,100,100,6.94,7.12,6.79,3.41,1.02,13.2,Durango
98.05,2.12,313,304,10.11,10.06,10.16,3.61,0.91,9.8,Durango
101.52,2.94,14,13,8.42,8.62,8.21,3.24,0.77,10.1,Durango
100.0,2.98,71,70,7.5,7.87,7.13,3.28,0.77,18.4,Durango
98.06,2.17,118,117,9.97,9.98,9.95,3.65,0.94,18.7,Durango
100.06,2.66,43,42,8.04,8.19,7.89,3.88,1.04,55.9,Durango
96.49,2.78,28369,27425,6.3,5.99,6.65,5.07,1.82,10.9,Durango
102.45,2.93,9,8,8.36,8.5,8.22,3.66,0.93,13.9,Durango
99.54,2.74,10,10,8.54,8.69,8.38,3.6,0.87,16.0,Durango
98.5,2.85,34,34,8.19,8.26,8.12,3.76,0.79,13.1,Durango
104.63,2.86,129,126,8.63,8.93,8.34,3.02,0.72,6.4,Durango
111.15,3.14,0,0,7.2,7.47,6.96,4.27,1.22,24.3,Durango
101.93,2.79,6,6,8.53,8.8,8.27,3.67,0.93,23.9,Durango
97.04,2.58,26,25,8.7,8.93,8.45,3.74,0.88,15.6,Durango
98.05,2.58,3000,2930,8.67,8.74,8.59,4.23,1.22,22.6,Durango
99.21,2.75,6,6,8.67,8.94,8.4,3.49,0.86,17.8,Durango
103.01,2.93,2,2,8.7,8.82,8.58,3.69,0.91,13.1,Durango
116.9,3.24,36,36,7.38,7.67,7.14,2.9,0.68,2.0,Durango
